paper,page,keyword,label,snippet
cheap_talk,2,study,context,"rately? Why are engagements and weddings public? Why are letters of recommendation private? These problems have in common a simple structure: an informed ""sender"" says some- thing to two interested but uninformed ""re- ceivers,"" who then take actions based on their beliefs; these actions affect the sender as well as the receivers. In this paper we study how costless, nonverifiable claims (cheap talk) can affect these beliefs (and hence the actions). and how the incentives for truthful revelation to one receiver are affected by the presence of the other. We then ask how welfare is affected by whether claims are made in public or in private. As some of the above examples suggest, public messages ma"
cheap_talk,3,abstract,result,"are used in equilibrium. Any message-space with at least two messages would give the same set of pure-strategy equilibrium outcomes. 11. Equilibria with Two Receivers We now describe the pure-strategy perfect Bayesian equilibria in our model. In order to do so, we must analyze three distinct cheap- talk games: the sender S speaking in private 'we abstract from considerations such as reputation that might induce S to tell the truth e\en when it is against his short-term interest. Similarly, we assume that it is impossible to promise side-payments contin- gent on any of the players' realized payoffs: for in- stance. because those payoffs are not publicly observed. 0"
cheap_talk,3,effect,result,"ABLE 1A-Q's PAYOFFS True State S1 S2 ql XI > 0 0 Q 's Action q2 0 x2 > 0 TABLE 1B- R's PAYOFFS True State Sl S2 '1 .Vl > 0 0 R's Action '2 0 ?;, > 0 If one audience had an action that was always optimal for her irrespective of her beliefs about s, then the sender would not have to consider her reactions to his talk. Consequently, there would be in effect only one audience, and this problem has already been well studied by Vincent Crawford and Joel Sobel (1982). Without loss of interesting generality, therefore, we suppose that the receivers' payoffs are such that if the state were known to be s, then Q would choose q, and R would choose r,. By normalizing, we can display these payoffs as in Tables"
cheap_talk,4,condition,design_dimension,"- rium, S says ""s = s,"" when the state is s,, and says ""s = s,"" when the state is s,. Thus in a separating equilibrium, the receiver's rational posterior belief is either that s =s, for sure (so she takes her first action), or that s = s, for sure (so she takes her second ac- ti~n).~ Given that S can induce either of these beliefs. the equilibrium condition is that he has no incentive to lie. Thus a sepa- 'or. more gcncrall\. h15 mesage is uncorrelated with his private ~nfnrmat~on 5 'TO complete thc formal dcacription of equilibrium. wc must specif! ahat the recei\er ~ould believe if she heard an unexpected message. For simplicity. we can assume that .\he would maintain her prior beliefs. 4~or exampl"
cheap_talk,7,condition,design_dimension,"VOL. 79 NO. 5 FARRELL AND GIBBONS.. CHEAP TALK 1219 condition holds. More interesting effects arise when the coherence condition fails. With one receiver, R, in our two-action model, the sender also certainly prefers sepa- ration to pooling, even ex post. For recall that, in a separating equilibrium, S can, by choosing a message, induce R to choose either of her two actions: hence, he can induce her to choos"
cheap_talk,7,condition,design_dimension,"VOL. 79 NO. 5 FARRELL AND GIBBONS.. CHEAP TALK 1219 condition holds. More interesting effects arise when the coherence condition fails. With one receiver, R, in our two-action model, the sender also certainly prefers sepa- ration to pooling, even ex post. For recall that, in a separating equilibrium, S can, by choosing a message, induce R to choose either of her two actions: hence, he can induce her to choose the action she would choose in the pooling equilibrium. Thus S ha"
cheap_talk,8,outcome,result,"nce R cannot dispute S's reminder about hs incentives. Because such a speech can be made, we say that the pooling equilibrium is not neologism-proof. Moreover, no such objection can be made to the separating equilibrium: because both of the receiver's available actions are used in equilibrium, neither type of Sender can strictly prefer the pooling outcome to what he would get in separating equilibrium. Thus we have: PROPOSITION 4: In the coherent case with two actions, if there exists a separating equi- librium then, generically, the pooling equilib- rium is not neologism-proof (and the separat- ing equilibrium is). If the communication technology is very tightly controlled, S may have no chance to"
cheap_talk,11,theory,theory,"ersity, revised Febru- ary 1989. Lewis, Tracy and Sappington, David, ""Inflexible Rules in Incentive Problems,"" American Economic Review, March 1989, 79, 69-84. Riordan, Michael and Sappington, David, ""In- formation, Incentives and Organizational Mode,"" Quarterly Journal of Economics, May 1987, 102, 243-64. Stein, Jeremy, ""Cheap Talk and the Fed: A Theory of Imprecise Policy Announce- ments,"" American Economic Review, March 1989, 79, 32-42."
cheap_talk,14,theory,theory,"Cheap Talk and the Fed: A Theory of Imprecise Policy Announcements Jeremy C. Stein The American Economic Review, Vol. 79, No. 1. (Mar., 1989), pp. 32-42. Stable URL: http://links.jstor.org/sici?sici=0002-8282%28198903%2979%3A1%3C32%3ACTATFA%3E2.0.CO%3B2-U http://www.jstor.org LINKED CITATIONS - Page 3 of 3 - NOTE: The reference numbering from the original has been maintained in t"
